"will, vil",ויל
orrin,אורין
ortal,אורטל
oryom,אוריום
osanna,אוסנה
oscar,אוסקר
osher,אושר
oshik,אושיק
oshiya,אושיה
oshra,אושרה
oshrat,אושרת
oshri,אושרי
oshriel,אושריאל
oshrit,אושרית
oshriya,אושריה
osi,אוסי
osnat,אוסנת
otto,אוטו
otzar,אוצר
ovadia,עובדיה
oved,עובד
oz,עוז
ozer,עוזר
pablo,פאבלו
padut,פדות
paltiel,פלטיאל
pamela,פמלה
panya,פניה
paretz,פרץ
pascalle,פסקל
pashosh,פשוש
patricia,פטריסיה
patrick,פטריק
paul,פאול
paula,פאולה
paulette,פולט
pavel,פאבל
paz,פז
pazi,פזי
pazit,פזית
pearl,פערל
pedhatzur,פדהצור
pedro,פדרו
peer li,פארלי
peer,פאר
peeri,פארי
pele,פלא
peled,פלד
peleg,פלג
perach,פרח
perla,פרלה
pesach,פסח
pessia,פסיה
petel,פטל
peter,פטר
philip,פיליפ
pierre,פייר
pilhit,פלאית
pinchas,פינחס
pini,פיני
piter,פיטר
pliaa,פליאה
pnina,פנינה
pninat,פנינת
pninit,פנינית
pola,פולה
poleg,פולג
polina,פולינה
porat,פורת
poriya,פוריה
priel,פריאל
priela,פריאלה
priya,פריה
prosper,פרוספר
puah,פועה
purim,פורים
raam,רעם
raanan,רענן
raanana,רעננה
raaya,רעיה
rabiel,רביאל
racel,רעכל
rachamim,רחמים
rachel,רחל
racheli,רחלי
rachelit,רחלית
raday,רדי
raffi,רפי
rahav,רהב
rain,ריין
raisa,ראיסה
rakefet,רקפת
rakia,רקיע
ram,רם
rama,רמה
rami,רמי
ramit,רמית
ramon,רמון
ramona,רמונה
ran,רן
randi,רנדי
ranel,רנאל
ranen,רנן
rani,רני
ranit,רנית
ratzon,רצון
raubat,ראובת
raul,ראול
rave,רווה
ravid,רביד
ravit,רוית
raviv,רביב
ray,ריי
raz,רז
raza,רוזה
razi,רזי
raziel,רזיאל
raziela,רזיאלה
razya,רזיה
rea,רע
reef,ריף
reem,ראם
regev,רגב
regina,רגינה
rei,רעי
reizi,רייזי
rekem,רקם
renana,רננה
renanit,רננית
renate,רנט
renato,רנטו
rephael,רפאל
rephaela,רפאלה
reshef,רשף
reshit,ראשית
reut,רעות
reuven,ראובן
reuvena,ראובנה
reuya,ראויה
revaya,רוויה
revital,רויטל
riccardo,ריקרדו
riesel,ריזל
rika,ריקה
riki,ריקי
rimma,רימה
rimon,רימון
rimona,רימונה
rina,רינה
rinat,רינת
rinatya,רינתיה
risan,ריסן
rita,ריטה
riva,ריבה
rivi,ריבי
rivkah,רבקה
robert,רוברט
roberto,רוברטו
rodica,רודיקה
roga,רוגע
roi,רואי
roit,רועית
rom,רום
roman,רומן
romema,רוממה
romi,רומי
romina,רומינה
romit,רומית
ron,רון
rona,רונה
ronald,רונלד
ronel,רונאל
ronen,רונן
roni,רוני
roniel,רוניאל
ronili,רונילי
ronit,רונית
ronli,רונלי
ronya,רוניה
rosalia,רוזליה
rosalie,רוזלי
rosalina,רוזלינה
rosalind,רוזלינד
rosaline,רוזלין
rose,רוז
rosemary,רוזמרי
ross,רוס
rotem,רותם
roxanne,רוקסן
roya,רויה
rozi,רוזי
rubi,רובי
rubin,רובין
ruchama,רוחמה
rudolph,רודולף
ruth,רות
rutha,רוטה
rutti,רותי
ryan,רייאן
saar,סער
sabina,סבינה
sabrina,סברינה
sachaf,סחף
sachlav,סחלב
sadot,שדות
sagie,שגיא
sagit,שגית
sagiv,סגיב
sahar,סהר
saimon,סימון
salit,סלעית
sally,סאלי
salomon,סלומון
sam,סם
sami,סמי
samuel,סמואל
sandra,סנדרה
sandrine,סנדרין
sandy,סנדי
sapir,ספיר
sapirit,ספירית
saraf,שרף
sarah,שרה
sarai,שרי
sariel,שריאל
sarig,שריג
sarit,שרית
sarita,שריתה
sasa,שאשא
sasha,סשה
sassi,ששי
sasson,ששון
savyon,סביון
sayar,סייר
sayfan,סייפן
seadia,סעדיה
seffi,ספי
segal,סגל
segev,שגב
sela,סלה
semyon,סמיון
serach,שרח
sergei,סרגי
serjio,סרחיו
serya,שריה
sgula,סגולה
shaanan,שאנן
shaanana,שאננה
shaaya,שעיה
shabchiya,שבחיה
shabtai,שבתאי
shachaf,שחף
shachak,שחק
shachal,שחל
shacham,שחם
shachar,שחר
shachari,שחרי
shacharit,שחרית
shadmit,שדמית
shafir,שפיר
shafira,שפירה
shafrir,שפריר
shai,שי
shaike,שייקה
shaked,שקד
shalechet,שלכת
shalem,שלם
shalev,שלו
shalhevet,שלהבת
shalhevetya,שלהבתיה
shalom,שלום
shalva,שלוה
shamai,שמי
shamaim,שמים
shamir,שמיר
shandi,שיינדי
shane,שיין
shani,שני
shanit,שנית
shanon,שאנון
sharel,שראל
sharly,שרלי
sharon,שרון
sharona,שרונה
sharoni,שרוני
sharonit,שרונית
shaul,שאול
shaula,שאולה
shauli,שאולי
shavit,שביט
shaviv,שביב
shay,שי
shaya,שיה
shayel,שיאל
shayla,שיילה
shdema,שדמה
shealtiel,שאלתיאל
shefa,שפע
shefi,שפי
sheina,שיינא
sheindel,שיינדל
sheizaf,שיזף
sheldon,שלדון
shelef,שלף
sheleg,שלג
shell,של
shelly,שלי
shelya,שליה
shem,שם
shemer,שמר
shenhav,שנהב
sher,שר
sheva,שבע
shevach,שבח
shiba,שיבא
shibolet,שיבולת
shifra,שיפרה
shikma,שיקמה
shilat,שילת
shilhev,שילהב
shimi,שימי
shimit,שמעית
shimon,שמעון
shimona,שמעונה
shimri,שמרי
shimrit,שימרית
shimron,שימרון
shimshon,שמשון
shir,שיר
shira,שירה
shiran,שירן
shirat,שירת
shiray,שיריי
shiraz,שירז
shirel,שיראל
shiri,שירי
shiriel,שיריאל
shirili,שירילי
shirin,שירין
shirit,שירית
shirli,שירלי
shiron,שירון
shirtal,שירטל
shiva,שיבה
shkediya,שקדיה
shlomi,שלומי
shlomit,שלומית
shlomo,שלמה
shlomtzyon,שלומציון
shmaaya,שמעיה
shmaayahu,שמעיהו
shmaria,שמריה
shmil,שמיל
shmuel,שמואל
shmuela,שמואלה
shneour,שנאור
shniel,שניאל
shoham,שהם
shomron,שומרון
shonn,שון
shontal,שונטל
shosh,שוש
shoshan,שושן
shoshana,שושנה
shoshanit,שושנית
shoshi,שושי
shoval,שובל
shraga,שרגא
shratya,שירתיה
shterna,שטערנא
shuki,שוקי
shula,שולה
shulamit,שולמית
shuli,שולי
shunamit,שונמית
shuni,שוני
shunit,שונית
shuv,שוב
shuvael,שובאל
shuvi,שובי
shuvya,שוביה
shvut,שבות
si,סי
sigal,סיגל
sigalit,סגלית
sigi,סיגי
silva,סילבה
silvan,סילבן
silvana,סילבנה
silvia,סלביה
silvio,סילביו
sima,סימא
simcha,שמחה
simchi,שמחי
simi,סימי
simona,סימונה
sinai,סיני
sinaya,סיניה
sion,שיאון
siona,שיאונה
sis,סיס
sitar,סיטאר
sitvanit,סיתונית
sivan,סיוון
sky,סקאי
slava,סלבה
slavik,סלביק
smadar,סמדר
smulik,שמוליק
snaait,סנאית
snir,שניר
snira,שנירה
snunit,סנונית
sofia,סופיה
sofy,סופי
sol,סול
solomon,סולומון
soly,סולי
sonya,סוניה
sorek,שורק
stanley,סטנלי
star,סטאר
stav,סתו
stavit,סתוית
steeve,סטיב
stella,סטלה
stephanie,סטפני
steven,סטיבן
sue,סו
suf,סוף
sufa,סופה
sufit,סופית
sultana,סולטאנה
sun,סאן
sunny,סאני
suri,סורי
susane,סוזן
susanna,סוזנה
susanne,סוזאן
suzy,סוזי
svetlana,סבטלאנה
svutya,שבותיה
sydney,סידני
sylvia,סילביה
sylvie,סילבי
tadmor,תדמור
tafat,טפת
tagel,תגל
tagil,תגיל
tahara,טהרה
tahel,תהל
tai,טאי
tair,תאיר
tal,טל
talel,טלאל
tali,טלי
talila,טלילה
talmai,תלמי
talmor,טלמור
talor,טלאור
talya,טליה
tama,תמה
tamar,תמר
tamara,תמרה
tamari,תמרי
tami,תמי
tamir,טמיר
tamuz,תמוז
tanchum,תנחום
tanir,תניר
taniv,תניב
tanya,טניה
tara,טארה
tarin,תרין
tarun,תרון
tatiana,טאטיאנה
tatina,טאטינה
tav,תו
tavor,תבור
taya,תאיה
tchelet,תכלת
tchiya,תחיה
ted,טד
teddy,טדי
teena,תאנה
tehila,תהילה
tehora,טהורה
telem,תלם
telma,תלמה
tenne,טנא
teodor,טאודור
terez,טרז
tereza,טרזה
terra,טרה
tess,טס
teva,טבע
tevel,תבל
tevet,טבת
tfila,תפילה
thea,תיאה
thomas,תומס
tia,טיה
tidhar,תדהר
tifara,תפארה
tiferet,תפארת
tifrach,תפרח
tiki,תיקי
tikva,תקוה
tilly,טילי
tiltan,תלתן
tim,טים
timnna,תמנה
timor,טימור
tina,טינה
tiran,טיראן
tiranit,טירנית
tirosh,תירוש
tirtsa,תרצה
tirza,תרזה
tkuma,תקומה
tlalit,טללית
tmira,טמירה
toby,טובי
toem,תואם
tohar,טהר
toiba,טויבא
tom,טום
tomer,תומר
tomi,טומי
tomli,תומלי
tony,טוני
topaz,טופז
tor,תור
tora,תורה
toren,תורן
tov,טוב
tova,טובה
tovel,טובאל
tovit,טובית
tsafnat,צפנת
tsdafit,צדפית
tsedef,צדף
tsfiya,צפיה
tshura,תשורה
tshuva,תשובה
tsuf,צוף
tsufi,צופי
tsufit,צופית
tully,טולי
tushiya,תושיה
tut,תות
tuval,תובל
tuvia,טוביה
tzabar,צבר
tzabarit,צברית
tzach,צח
tzachi,צחי
tzachit,צחית
tzadik,צדיק
tzadika,צדיקה
tzadok,צדוק
tzafi,צפי
tzafir,צפיר
tzafit,צפית
tzafrir,צפריר
tzafrira,צפרירה
tzafrit,צפרית
tzahala,צהלה
tzahali,צהלי
tzameret,צמרת
tzdaka,צדקה
tzeel,צאל
tzeela,צאלה
tzemach,צמח
tzfira,צפירה
tzila,צילה
tzili,צילי
tzion,ציון
tziona,ציונה
tzioni,ציוני
tzionit,ציונית
tzipa,ציפה
tzipi,ציפי
tzipiya,ציפיה
tzippora,ציפורה
tziral,צירל
tzlil,צליל
tzlila,צלילה
tzochar,צחר
tzofar,צופר
tzofia,צופיה
tzruya,צרויה
tzuk,צוק
tzukit,צוקית
tzur,צור
tzurel,צוראל
tzuri,צורי
tzuria,צוריה
tzuriel,צוריאל
tzurit,צורית
tzvi,צבי
tzvia,צביה
tzviel,צביאל
tzvika,צביקה
udi,אודי
udit,אודית
uma,אומה
uri,אורי
uria,אוריה
uriel,אוריאל
uriela,אוריאלה
ursula,אורסולה
uzi,עוזי
uzit,עוזית
uzziel,עוזיאל
uzziya,עוזיה
vadim,ודים
valentina,ולנטינה
valentine,ולנטין
valeria,ואלריה
valerian,ולריאן
valerie,ואלרי
valerio,ולריו
vali,ולי
vanda,ונדה
varda,ורדה
vardina,ורדינה
vardit,ורדית
vasily,וסילי
vatzman,ויצמן
venessa,ונסה
venezia,ונציה
vera,ורה
vered,ורד
veronic,ורוניק
veronica,ורוניקה
vic,ויק
vicky,ויקי
victor,ויקטור
victoria,ויקטוריה
vida,וידה
vika,ויקה
villiam,וויליאם
viola,ויאולה
violet,ויולט
violeta,ויולטה
vita,ויטה
vitale,ויטל
vitaliy,ויטלי
viva,ויוה
vivi,ויוי
vivian,ויויאן
viviana,ויויאנה
vlada,ולדה
vladi,ולדי
vladimir,ולדימיר
vladislav,ולדיסלב
volter,וולטר
willi,וילי
william,ויליאם
wolf,וולף
yaacova,יעקובה
yaad,יעד
yaakov,יעקב
yaar,יער
yaara,יערה
yaari,יערי
yaarit,יערית
yachad,יחד
yachin,יכין
yadid,ידיד
yadin,ידין
yael,יגל
yafa,יפה
yafit,יפית
yagil,יגיל
yagur,יגור
yahalom,יהלום
yahaloma,יהלומה
yahalomit,יהלומית
yahav,יהב
yahava,יהבה
yahel,יהל
yahela,יהלה
yaheli,יהלי
yahelor,יהלאור
yair,יאיר
yaira,יאירה
yaki,יקי
yakim,יקים
yakir,יקיר
yakira,יקירה
yalin,ילין
yalon,ילון
yam,ים
yamin,ימין
yamit,ימית
yan,יאן
yana,יאנה
yanaait,ינאית
yanir,יניר
yaniv,יניב
yannai,ינאי
yante,יענטא
yanuv,ינוב
yarden,ירדן
yardena,ירדנה
yarel,יראל
yarin,ירין
yarina,ירינה
yariv,יריב
yarkon,ירקון
yarkona,ירקונה
yarnin,ירנין
yarom,ירום
yaron,ירון
yarona,ירונה
yaroni,ירוני
yashiv,ישיב
yashphe,ישפה
yasmine,יסמין
yasur,יסעור
yated,יתד
yatir,יתיר
yavneel,יבניאל
yavniela,יבניאלה
year,יאר
yechezkel,יחזקאל
yechi,יחי
yechiaad,יחיעד
yechiav,יחיאב
yechiel,יחיאל
yechiela,יחיאלה
yedaaya,ידעיה
yedida,ידידה
yefet,יפת
yefim,יפים
yehiam,יחיעם
yehoash,יהואש
yehonadav,יהונדב
yehoram,יהורם
yehoshua,יהושוע
yehoshua,יהושוע
yehoyada,יהוידע
yehoyakim,יהויקים
yehu,יהוא
yehuda,יהודה
yehudi,יהודי
yekara,יקרה
yekaterina,יקטרינה
yekutiel,יקותיאל
yelena,ילינה
yemima,ימימה
yerach,ירח
yerachemel,ירחמאל
yerachmiel,ירחמיאל
yermiyahu,ירמיהו
yerucham,ירוחם
yerushalmit,ירושלמית
yeshaya,ישעיה
yeshayahu,ישעיהו
yeshuaa,ישועה
yeshurun,ישורון
yevgeni,יבגני
yevgeniya,יבגניה
yidhar,ידהר
yifaati,יפעתי
yifat,יפעת
yifrach,יפרח
yiftach,יפתח
yigaela,יגאלה
yikrat,יקרת
yinon,ינון
yiraat,יראת
yiram,ירעם
yirmi,ירמי
yirmiya,ירמיה
yiron,יראון
yisge,ישגה
yishai,ישי
yishi,ישעי
yiska,יסכה
yitav,ייטב
yitshal,יצהל
yitzhak,יצחק
yitzhar,יצהר
yivsam,יבשם
yizhar,יזהר
yoad,יועד
yoan,יואן
yoana,יואנה
yoav,יואב
yoav,יואב
yoaz,יועז
yochanan,יוחנן
yochi,יוחי
yodfath,יודפת
yoel,יואל
yoel,יואל
yoela,יואלה
yoeli,יואלי
yoelit,יואלית
yofiel,יופיאל
yofit,יופית
yogev,יגב
yohad,יוהד
yohanan,יוחנן
yoked,יוקד
yolanda,יולנדה
yomi,יומי
yon,יון
yona,יונה
yonadav,יהונדב
yonat,יונת
yonatan,יונתן
yoni,יוני
yonina,יונינה
yonit,יונית
yoram,יהורם
yoray,יוראי
yoseph,יוסף
yosepha,יוספה
yoshiyahu,יאשיהו
yossi,יוסי
yotam,יותם
yotvat,יוטבת
yovav,יובב
yuliya,יוליה
yuri,יורי
yurit,יורית
yuval,יובל
zahara,זהרה
zaharit,זהרית
zaka,זכה
zakai,זכאי
zaki,זכי
zalman,זלמן
zamir,זמיר
zchut,זכות
zebulun,זבולון
zecharia,זכריה
zeev,זאב
zeeva,זאבה
zehava,זהבה
zehavi,זהבי
zehavit,זהבית
zehorit,זהורית
zelda,זלדה
zemer,זמר
zephaniah,צפניה
zer,זר
zeri,זרי
zerit,זרית
zigmond,זיגמונד
zika,זיקה
zilpa,זלפה
zimartya,זימרתיה
zimra,זימרה
zimrat,זימרת
zina,זינה
zisel,זיסל
ziv,זיו
ziva,זיוה
zivan,זיוון
zivanit,זיונית
zivit,זיוית
zmira,זמירה
zoey,זואי
zohar,זהר
zohara,זוהרה
zohi,זוהי
zoya,זויה
zrubavel,זרובבל
zuel,זואל
zvulun,זבולון
